# this table describes the count for each observation concept in OBSERVATION_FACTS.txt ##
cpt,count
MDCTN:41137,22239
ICD10:I48.0,22213
ICD10:N17.9,22163
LOINC:2019-8,22092
MDCTN:4573,22011
PYR:700,21933
MDCTN:3497,21826
MDCTN:128782,21798
MDCTN:127496,21789
MDCTN:38315,21771
MDCTN:9151,21549
MDCTN:7555,21445
ICD10:M19.90,21444
MDCTN:28645,21389
LOINC:3016-3,21367
ICD9:V58.67,21341
ICD9:780.79,21271
MDCTN:10451,21219
MDCTN:25119,21217
MDCTN:2017,21075
MDCTN:22473,21017
LOINC:2708-6,21000
MDCTN:119609,20857
MDCTN:30070,20835
MDCTN:681,20769
PYR:226,20697
LOINC:50563-6,20613
ICD10:Z99.2,20576
DEPT|1080031439021|EPIC,20495
ICD10:I50.9,20436
ICD10:Z01.818,20387
MDCTN:4526,20379
MDCTN:9506,20367
MDCTN:31864,20353
ICD10:N18.9,20303
MDCTN:7437,20279
DEPT|1080145433015|EPIC,20271
SOC_HIST:ALC_USE:NOT ASKED,20214
ICD9:599.0,20168
DEPT|1070011001223|EPIC,20025
DEPT|1070015320000|EPIC,20017
ICD9:585.9,19953
DEPT|1080064450032|EPIC,19924
ICD10:M54.5,19881
MDCTN:27695,19792
DEPT|1070153320145|EPIC,19766
ICD9:V58.83,19746
MDCTN:5604,19723
MDCTN:8751,19546
LOINC:8247-9,19487
CLIN|819|ADS,19480
MDCTN:9637,19456
LOINC:30405-5,19432
ICD9:789.00,19290
LOINC:43396-1,19245
MDCTN:6497,19202
ICD10:N18.3,19139
ICD9:403.90,19111
LOINC:3084-1,19071
MDCTN:3074,18998
DEPT|1061128404008|EPIC,18994
MDCTN:28203,18919
DEPT|1070122321055|EPIC,18783
DEPT|1070011320123|EPIC,18705
MDCTN:3233,18683
ICD9:V72.83,18626
ICD10:I73.9,18603
ICD10:N39.0,18512
LOINC:2161-8,18503
CPT:99285,18460
ICD9:786.09,18403
MDCTN:15849,18302
LOINC:3040-3,18102
CPT:99212,18096
MDCTN:8120,18012
ICD10:I25.2,17958
ICD10:J18.9,17957
LOINC:5794-3,17922
MDCTN:21062,17899
MDCTN:13133,17856
MDCTN:9500,17748
ICD9:564.00,17707
LOINC:13969-1,17679
MDCTN:6622,17598
DEPT|1070151372208|EPIC,17500
DEPT|1070153320110|EPIC,17438
ICD9:724.5,17275
MDCTN:40840057,17229
MDCTN:5009,17219
MDCTN:5016,17209
MDCTN:63481062385|ADS,17202
DEPT|1070015372201|EPIC,17183
MDCTN:104565,17158
MDCTN:7536,17068
MDCTN:10813,17012
MDCTN:9814,17000
ICD10:E11.65,16995
DEPT|1070011320111|EPIC,16897
ICD10:Z86.73,16883
DEPT|1070211322002|EPIC,16865
MDCTN:40872,16851
ICD10:I50.22,16819
MDCTN:2007,16788
ICD10:E66.01,16753
ICD9:V57.1,16745
MDCTN:76950,16722
PYR:711,16719
ICD9:784.0,16717
ICD9:V58.44,16640
MDCTN:40840780,16634
DEPT|1070011373169|EPIC,16536
CPT:36415,16386
ICD9:V42.0,16354
MDCTN:3844,16340
ICD10:Z95.5,16295
ICD10:R91.8,16229
MDCTN:10284,16215
CLIN|812|ADS,16173
CPT:85610,16163
DEPT|1061225419001|EPIC,16066
LOINC:46702-7,16058
MDCTN:31310,16048
ICD9:584.9,16015
ICD9:162.9,16002
ICD10:J90,15980
DEPT|1080081448030|EPIC,15943
MDCTN:15748,15902
MDCTN:10427,15896
MDCTN:5007,15887
DEPT|1070190001001|EPIC,15799
ICD9:V45.89,15748
DEPT|1070151320119|EPIC,15743
MDCTN:100611,15691
MDCTN:5245,15690
GEO:LAT,15682
GEO:LONG,15682
MDCTN:28964,15638
MDCTN:8943,15521
MDCTN:91408,15521
MDCTN:11350,15520
ICD9:99.25,15459
MDCTN:40840408,15442
MDCTN:81454,15429
LOINC:13457-7,15332
CPT:93306,15317
CPT:99231,15184
CLIN|818|ADS,15123
LOINC:890-4,15086
DEPT|1070011360018|EPIC,15023
ICD10:Z00.00,15019
ICD9:719.46,15017
MDCTN:2405,15010
ICD10:E66.9,15007
CPT:88305,14953
MDCTN:3697,14889
MDCTN:3760,14827
CPT:95117,14789
ICD9:403.91,14725
LOINC:46419-8,14689
ICD9:427.89,14624
ICD9:V76.12,14581
ICD10:C90.00,14580
LOINC:3024-7,14537
ICD9:412,14532
MDCTN:19176,14483
ICD10:I12.0,14442
ICD9:787.91,14429
MDCTN:4421,14428
PYR:211,14411
ICD9:V45.82,14400
MDCTN:9066,14363
CPT:99223,14359
DEPT|1070011355224|EPIC,14294
ICD9:V58.65,14251
MDCTN:15747,14246
ICD9:203.00,14222
MDCTN:11112,14190
ICD9:V45.81,14166
MDCTN:26226,14119
ICD9:443.9,14059
ICD9:710.0,14052
ICD9:782.3,14006
CPT:99284,13996
ICD10:E87.6,13987
DEPT|1070011001232|EPIC,13975
ICD9:V12.54,13944
ICD10:Z09,13918
MDCTN:35943,13886
MDCTN:325,13860
SOC_HIST:SMKTBCCO_USE:NEVERASSESS,13854
MDCTN:24521,13849
MDCTN:15749,13841
ICD10:Z95.1,13823
LOINC:27353-2,13790
MDCTN:13577,13783
MDCTN:12933,13745
ICD9:719.41,13721
ICD9:786.59,13719
DEPT|1080077436018|EPIC,13696
MDCTN:11351,13681
CPT:99291,13654
ICD9:38.99,13624
MDCTN:8981,13528
ICD10:A41.9,13524
CPT:99239,13522
DEPT|1070100320005|EPIC,13511
LOINC:1988-5,13461
ICD9:V67.09,13460
MDCTN:92895,13438
LOINC:33219-7,13419
MDCTN:39277,13404
DEPT|1070011370291|EPIC,13396
MDCTN:10466,13381
ICD10:R19.7,13368
MDCTN:11701,13367
ICD9:V12.51,13344
MDCTN:11365,13327
DEPT|1070011320129|EPIC,13326
ICD10:K59.00,13308
MDCTN:10778,13254
ICD9:714.0,13217
MDCTN:28534,13153
ICD9:278.01,13138
MDCTN:8083,13128
MDCTN:7485,13127
ICD9:425.4,13125
ICD10:E11.22,13115
LOINC:18262-6,13113
ICD10:G62.9,13063
LOINC:19270-8,13044
ICD10:R10.9,13019
CPT:90471,13010
ICD9:729.1,13004
ICD9:V04.81,12961
MDCTN:10724,12947
DEPT|1070011320122|EPIC,12944
MDCTN:16830,12921
ICD9:585.3,12910
ICD10:Z82.49,12846
ICD10:Z12.31,12798
MDCTN:9385,12757
ICD9:715.90,12756
DEPT|1080178437019|EPIC,12734
ICD10:I27.2,12697
DEPT|1070011360016|EPIC,12645
ICD10:E78.0,12600
DEPT|1080003435017|EPIC,12583
MDCTN:10372,12550
MDCTN:2625,12549
ICD10:Z79.51,12540
CLIN|466|ADS,12526
LOINC:5901-4,12521
MDCTN:127072,12513
MDCTN:14823,12513
MDCTN:5489,12496
MDCTN:11700,12466
LOINC:18282-4,12466
LOINC:14316-4,12419
DEPT|1070011330176|EPIC,12413
ICD9:V70.0,12411
MDCTN:11111,12395
MDCTN:108021,12377
MDCTN:24398,12375
MDCTN:16168,12367
CPT:99244,12348
MDCTN:3845,12329
ICD10:Z95.810,12233
DEPT|1070015320140|EPIC,12194
LOINC:2518-9,12194
ICD10:R51,12174
MDCTN:6434,12166
MDCTN:20920,12163
DEPT|1060128311001|EPIC,12137
ICD10:R07.89,12116
MDCTN:988,12111
LOINC:11253-2,12108
ICD10:E87.1,12097
MDCTN:11366,12093
DEPT|1070011320137|EPIC,12083
MDCTN:6582,12046
DEPT|1070011376290|EPIC,11968
LOINC:20408-1,11926
LOINC:2746-6,11912
MDCTN:29746,11903
ICD10:E78.2,11832
DEPT|1060128360006|EPIC,11810
LOINC:20409-9,11805
ICD9:V45.11,11791
ICD9:511.9,11790
ICD9:780.60,11754
DEPT|1070122305011|EPIC,11741
ICD10:R53.83,11740
DEPT|1070100320006|EPIC,11723
MDCTN:1755,11718
DEPT|1070000000077|EPIC,11684
ICD9:276.8,11674
MDCTN:22588,11665
MDCTN:4422,11637
ICD10:Z88.8,11637
DEPT|1081120429010|EPIC,11624
LOINC:2276-4,11600
ICD10:J44.1,11552
ICD10:Z88.0,11548
LOINC:1927-3,11541
MDCTN:408007085,11498
ICD10:M81.0,11485
MDCTN:28384,11465
ICD10:I48.2,11340
ICD10:C34.90,11306
DEPT|1061076420027|EPIC,11299
ICD10:E87.5,11289
ICD9:486,11286
ICD10:Z51.0,11269
ICD9:723.1,11235
ICD9:416.8,11223
LOINC:2021-4,11222
ICD9:793.19,11201
MDCTN:10235,11200
LOINC:2705-2,11193
ICD10:Z79.891,11190
ICD10:D62,11188
MDCTN:123435,11152
MDCTN:2863,11124
ICD9:274.9,11122
LOINC:19295-5,11117
ICD10:G89.4,11116
MDCTN:9815,11100
MDCTN:104207,11100
ICD10:C50.919,11072
ICD9:733.90,11027
CLIN|830|ADS,10998
ICD9:733.00,10971
ICD10:E55.9,10935
MDCTN:2623,10922
MDCTN:36591,10906
MDCTN:400296,10885
CPT:99283,10879
ICD10:I50.32,10860
MDCTN:128175,10859
ICD10:R50.9,10847
ICD10:Z86.718,10817
ICD10:E87.2,10808
ICD10:J30.9,10792
MDCTN:10450,10791
ICD9:719.45,10779
MDCTN:2510,10777
ICD10:Z88.5,10775
MDCTN:410033,10734
ICD10:D69.6,10733
ICD9:205.00,10716
LOINC:28642-7,10655
MDCTN:4423,10609
ICD10:C50.912,10607
MDCTN:68387053730|ADS,10590
CPT:99211,10576
ICD9:780.52,10512
MDCTN:1821,10487
ICD9:787.01,10459
MDCTN:17466,10445
MDCTN:860,10427
ICD9:268.9,10419
LOINC:6298-4,10366
DEPT|1070011375104|EPIC,10361
DEPT|1080124427008|EPIC,10354
MDCTN:11074,10333
LOINC:38230-9,10307
MDCTN:126252,10247
MDCTN:1306,10244
MDCTN:9638,10234
MDCTN:54569412000|ADS,10234
ICD9:277.00,10223
DEPT|1070011345046|EPIC,10218
MDCTN:40840232,10212
LOINC:4537-7,10209
MDCTN:39276,10206
DEPT|1070011360014|EPIC,10159
MDCTN:408135,10086
MDCTN:163141,10042
CPT:92014,10036
DEPT|1070011360003|EPIC,10014
ICD10:M54.9,10012
MDCTN:6621,10007
MDCTN:30071,10000
ICD10:J96.01,9998
ICD9:250.80,9992
MDCTN:8113,9991
ICD9:787.20,9968
MDCTN:108120,9963
CLIN|845|ADS,9944
LOINC:2132-9,9939
ICD10:G47.00,9922
MDCTN:5393,9895
ICD9:424.0,9890
DEPT|1060128001062|EPIC,9872
ICD9:276.7,9828
ICD10:C79.51,9811
ICD10:I42.9,9803
ICD9:276.1,9801
ICD9:780.4,9799
ICD10:R11.2,9799
LOINC:46418-0,9793
DEPT|1060128001202|EPIC,9783
DEPT|1070072355222|EPIC,9777
CPT:99238,9740
ICD10:R06.00,9731
ICD9:707.15,9721
ICD9:280.9,9714
ICD10:D50.9,9709
ICD9:V57.89,9705
MDCTN:310,9679
ICD9:287.5,9666
CLIN|879|ADS,9640
DEPT|1070085373200|EPIC,9638
MDCTN:18551,9631
LOINC:14627-4,9610
CLIN|008|ADS,9609
ICD10:D63.1,9604
SOC_HIST:SMKLSS_TBCCO_USE:FORMERUSER,9602
MDCTN:3700,9590
ICD9:518.81,9558
MDCTN:27863,9550
ICD10:Z98.89,9547
LOINC:46417-2,9501
MDCTN:10070,9491
MDCTN:1080,9472
MDCTN:4560,9457
MDCTN:3774,9449
ICD10:R42,9439
MDCTN:102,9370
MDCTN:112835,9365
MDCTN:9516,9364
CPT:99203,9341
ICD10:Z66,9331
ICD10:Z94.0,9318
ICD10:R13.10,9316
MDCTN:128781,9309
MDCTN:400511,9268
ICD10:Z95.0,9248
MDCTN:24984,9217
MDCTN:10045,9214
MDCTN:4345,9210
DEPT|1061031404009|EPIC,9205
MDCTN:129978,9195
MDCTN:36332,9194
LOINC:883-9,9145
ICD9:V43.3,9133
MDCTN:4953,9116
MDCTN:22289,9110
CPT:99199,9108
ICD10:M54.2,9069
ICD10:M25.561,9032
MDCTN:28995,9014
MDCTN:17482,9010
ICD10:Z79.52,9008
ICD9:424.1,9007
CPT:96372,9002
DEPT|1080156422003|EPIC,8997
MDCTN:33512,8992
MDCTN:119715,8961
ICD10:E86.0,8956
MDCTN:1222,8912
ICD9:250.60,8911
ICD9:473.9,8896
MDCTN:3296,8879
ICD9:V45.02,8835
MDCTN:2364,8805
CLIN|668|ADS,8802
MDCTN:5170,8799
ICD9:V14.0,8792
MDCTN:106413,8786
MDCTN:129912,8743
DEPT|1070011305012|EPIC,8717
ICD10:Z95.2,8711
MDCTN:400394,8706
MDCTN:120360,8701
ICD9:285.1,8692
LOINC:2498-4,8692
ICD10:M25.562,8689
ICD10:E83.42,8687
MDCTN:5751,8646
MDCTN:11441,8618
LOINC:2465-3,8609
ICD10:C92.00,8573
MDCTN:4420,8558
ICD10:R91.1,8546
CLIN|488|ADS,8542
ICD9:787.02,8538
ICD9:780.57,8528
ICD10:Z72.0,8522
ICD9:204.00,8517
MDCTN:7312,8509
ICD9:429.3,8502
DEPT|1070208001003|EPIC,8498
ICD9:357.2,8493
DEPT|1070011370277|EPIC,8472
MDCTN:78003,8455
MDCTN:5018,8451
ICD10:Z51.81,8433
ICD9:275.2,8421
ICD10:R53.1,8405
CPT:90686,8403
MDCTN:34524,8394
ICD10:I95.9,8386
MDCTN:5002,8379
LOINC:12187-1,8378
MDCTN:9310,8376
ICD9:789.09,8365
DEPT|1061286404001|EPIC,8355
LOINC:28643-5,8347
ICD10:Z12.11,8340
ICD10:J30.89,8324
ICD9:V58.0,8317
LOINC:10378-8,8314
ICD10:R11.0,8308
ICD9:V14.8,8300
ICD9:V10.3,8296
ICD9:785.6,8286
CLIN|570|ADS,8285
ICD9:202.80,8272
ICD9:428.22,8271
ICD9:782.0,8252
ICD9:571.5,8248
MDCTN:9801,8242
DEPT|1080165434016|EPIC,8242
MDCTN:24501,8214
CPT:97110,8187
MDCTN:26224,8162
ICD10:R60.0,8160
MDCTN:717,8102
MDCTN:1661,8091
MDCTN:6487,8084
ICD9:780.2,8080
ICD10:C50.911,8070
ICD10:R09.02,8045
MDCTN:4450,8044
MDCTN:5938,8019
ICD9:356.9,8015
ICD9:038.9,8012
ICD9:794.31,7989
ICD9:V76.51,7956
CPT:99254,7953
LOINC:2502-3,7920
ICD10:M79.7,7915
LOINC:630-4,7879
ICD10:C61,7865
ICD9:458.9,7846
CLIN|355|ADS,7843
ICD10:M62.81,7835
ICD9:346.90,7819
MDCTN:54868564600|ADS,7816
CPT:99243,7811
MDCTN:40840223,7800
ICD10:J06.9,7791
ICD10:E84.9,7769
ICD10:R55,7741
MDCTN:3701,7670
LOINC:17864-0,7655
ICD10:D46.9,7650
MDCTN:4719,7622
DEPT|1030249004001|EPIC,7621
MDCTN:311,7604
ICD10:M10.9,7589
ICD9:99.29,7556
DEPT|1070100375106|EPIC,7553
MDCTN:10674,7552
ICD9:716.90,7532
ICD9:414.8,7511
DEPT|1070011001059|EPIC,7510
LOINC:1989-3,7507
MDCTN:4973,7504
ICD9:600.00,7495
ICD10:M25.511,7487
DEPT|1070144320116|EPIC,7485
MDCTN:18307,7464
PYR:303,7463
MDCTN:16162,7421
ICD9:465.9,7411
ICD9:788.1,7400
MDCTN:20921,7396
MDCTN:11442,7388
DEPT|1070100320001|EPIC,7375
DEPT|1080146452034|EPIC,7371
ICD10:I21.4,7353
MDCTN:10037,7350
DEPT|1070011320143|EPIC,7347
ICD9:V72.84,7344
MDCTN:718,7329
ICD9:V42.6,7325
ICD9:276.51,7322
MDCTN:11265,7318
ICD10:N18.4,7313
MDCTN:39136,7312
HCPCS:G0008,7295
CPT:99053,7275
MDCTN:27862,7271
MDCTN:32267,7266
MDCTN:40800126,7255
ICD9:799.02,7238
LOINC:2500-7,7234
MDCTN:35184,7218
ICD10:Z88.2,7197
MDCTN:13818,7187
MDCTN:14793,7149
ICD9:781.2,7135
DEPT|1081177454036|EPIC,7128
CLIN|095|ADS,7122
MDCTN:410003,7122
LOINC:43983-6,7103
MDCTN:129071,7089
ICD9:183.0,7088
MDCTN:9621,7082
CPT:94010,7082
ICD10:I51.7,7066
ICD9:198.5,7061
CPT:99253,7057
ICD9:V70.7,7047
NURS|EACU|ADS,7042
ICD10:M32.9,7025
DEPT|1070208001001|EPIC,7017
ICD9:250.02,7015
ICD10:I25.5,7013
ICD9:729.81,7000
MDCTN:23490,6953
ICD9:782.1,6951
SOC_HIST:SMKTBCCO_USE:CRSOMEDYSMKR,6949
ICD9:V17.49,6943
ICD10:E11.621,6932
MDCTN:34544,6932
ICD10:R00.0,6922
MDCTN:27920,6905
ICD10:Z51.5,6897
LOINC:19359-9,6887
MDCTN:8958,6876
LOINC:19550-3,6873
DEPT|1080185425008|EPIC,6868
ICD9:562.10,6860
MDCTN:430020,6848
CPT:99204,6845
ICD9:V42.82,6843
ICD9:276.2,6840
MDCTN:10403,6833
ICD9:V14.5,6826
MDCTN:5606,6824
MDCTN:36775,6818
MDCTN:28970,6816
ICD10:M06.9,6815
MDCTN:21374,6811
ICD10:D63.8,6800
MDCTN:28775,6799
ICD9:518.89,6797
ICD9:995.91,6793
MDCTN:27696,6792
MDCTN:7557,6791
MDCTN:104566,6778
ICD10:E11.42,6767
DEPT|1071128362236|EPIC,6762
ICD10:R33.9,6753
ICD9:285.21,6748
MDCTN:10044,6744
CLIN|798|ADS,6716
MDCTN:9492,6705
PYR:702,6692
MDCTN:28715,6689
DEPT|1070190319218|EPIC,6676
MDCTN:11664,6667
ICD10:Z94.84,6657
DEPT|1020132311001|EPIC,6651
ICD9:V45.01,6651
CPT:83036,6646
CPT:74000,6645
ICD10:F41.1,6633
ICD10:Z90.49,6627
LOINC:49054-0,6590
ICD10:Z94.2,6582
ICD10:C56.9,6569
MDCTN:87822,6554
MDCTN:40840234,6550
LOINC:33249-4,6542
ICD10:Z68.41,6539
MDCTN:40849089,6536
PYR:819,6516
MDCTN:17595,6512
ICD9:V14.2,6512
ICD9:282.60,6511
MDCTN:26817,6508
ICD10:J43.9,6508
MDCTN:3761,6492
ICD10:R65.21,6484
ICD10:E11.40,6477
ICD10:J98.11,6476
MDCTN:108119,6472
HCPCS:G0202,6472
DEPT|1061127412001|EPIC,6463
ICD9:V42.81,6449
MDCTN:128671,6448
LOINC:3034-6,6445
LOINC:27340-9,6441
ICD9:790.29,6433
DEPT|1062094417016|EPIC,6420
ICD10:G47.30,6412
MDCTN:410025,6412
ICD9:V43.65,6408
MDCTN:42164,6404
ICD10:T45.1X5A,6404
PYR:710,6402
MDCTN:1445,6399
MDCTN:408007048,6398
CLIN|192|ADS,6396
ICD9:185,6386
MDCTN:22472,6369
CLIN|823|ADS,6358
MDCTN:20580,6346
MDCTN:42165,6343
CLIN|836|ADS,6333
ICD10:M79.89,6325
DEPT|1070015342002|EPIC,6310
MDCTN:21823,6303
MDCTN:9070,6265
MDCTN:9014,6245
DEPT|1070011360010|EPIC,6243
ICD10:Z51.12,6224
MDCTN:9627,6220
ICD9:785.1,6211
ICD9:722.52,6207
ICD10:E11.8,6206
MDCTN:10286,6198
MDCTN:5005,6191
DEPT|1070153320128|EPIC,6191
MDCTN:121024,6189
MDCTN:3542,6187
ICD9:783.21,6183
ICD10:R21,6175
CLIN|791|ADS,6163
DEPT|1070011360023|EPIC,6156
ICD10:Z99.81,6147
CLIN|797|ADS,6144
ICD10:M25.512,6139
ICD10:R94.31,6138
DEPT|1061099404001|EPIC,6136
ICD9:305.00,6136
MDCTN:25855,6129
PYR:227,6124
ICD9:793.11,6120
ICD9:585.4,6117
ICD10:Z94.81,6116
ICD10:I34.0,6110
LOINC:600-7,6109
MDCTN:128612,6108
LOINC:14314-9,6103
MDCTN:9939,6102
