hpo,mappedTo,aggrgtdFrom,notSeverePatientNo(%),nonSeverePercent,severePatientNo(%),severePercent,pVal
Increased.circulating.thyroxine.level,2,2,43[0.9],0.00912370040314025,4[1.3],0.0126984126984127,0.536279673879298
Decreased.lipoprotein.lipase.activity,1,1,13[0.3],0.00275832802885635,1[0.3],0.00317460317460317,0.596257867176041
Conjugated.hyperbilirubinemia,1,1,61[1.3],0.0129429238277106,5[1.6],0.0158730158730159,0.606106815224905
Hypercholesterolemia,1,1,156[3.3],0.0330999363462763,12[3.8],0.0380952380952381,0.625612658516111
Decreased.HDL.cholesterol.concentration,7,1,69[1.5],0.014640356460853,3[1],0.00952380952380952,0.625840356140654
Increased.basophil.count,4,3,39[0.8],0.00827498408656906,3[1],0.00952380952380952,0.745295332849286
Increased.troponin.I.level.in.blood,5,1,47[1],0.00997241671971144,2[0.6],0.00634920634920635,0.767883436087237
Hypercalcemia,2,2,52[1.1],0.0110333121154254,4[1.3],0.0126984126984127,0.778046197126353
Increased.serum.insulin.like.growth.factor.1,1,1,1[0],0.000212179079142797,0[0],0,1
Increased.VLDL.cholesterol.concentration,8,2,1[0],0.000212179079142797,0[0],0,1
Elevated.serum.anion.gap,1,1,50[1.1],0.0106089539571398,3[1],0.00952380952380952,1
Hyperglycorrhachia,6,1,4[0.1],0.000848716316571186,0[0],0,1
Hypermagnesiuria,1,1,6[0.1],0.00127307447485678,0[0],0,1
Hypocholesterolemia,1,1,2[0],0.000424358158285593,0[0],0,1
Hypoglycorrhachia,6,1,7[0.1],0.00148525355399958,0[0],0,1
IgA.deficiency,1,1,12[0.3],0.00254614894971356,0[0],0,1
IgM.deficiency,1,1,18[0.4],0.00381922342457034,1[0.3],0.00317460317460317,1
Increased.IgA.level,1,1,3[0.1],0.00063653723742839,0[0],0,1
